70,21,426775,17865,12936,7988,20595,11208,2783,3990, 1, 0, 0
74,27,587426,498768,144372,101828,48666,121498,31298,9572, 1, 0, 0
66,29,1562747,890416,83721,44777,38636,33466,20543,7794, 1, 0, 0
57,30,163202,13062,6277,8615,11148,3189,1003,624, 1, 0, 0
56,35,861202,352457,143144,131318,137874,92812,24287,6738, 1, 0, 0
74,47,107333,45011,54691,8448,58699,19548,7702,1883, 1, 0, 0
69,48,592562,34480,13144,17353,17920,6492,7488,1251, 1, 0, 0
63,43,3295028,729789,315367,230049,370707,191164,42319,10926, 1, 0, 0
63,43,637039,42540,3715,8089,15585,4147,2812,1343, 1, 0, 0
66,43,1527500,74984,25777,11029,15540,17694,4990,3226, 1, 0, 0
47,29,46677,43014,2957,3660,3548,1654,2149,388, 1, 0, 0
40,34,104452,99241,37148,56697,29755,10953,4843,1799, 1, 0, 0
50,30,623479,226741,32516,38367,41120,51945,4328,3878, 1, 0, 0
51,27,251070,57046,9181,21100,17021,6631,6402,1056, 1, 0, 0
44,37,717852,315122,74854,38730,29446,10147,7608,2453, 1, 0, 0
37,26,436406,244390,18023,56747,35379,30118,10947,5998, 1, 0, 0
24,35,279969,206578,51922,82548,24436,18405,32506,15329, 1, 0, 0
47,27,2000363,386861,103356,123847,460262,409892,64920,10974, 1, 0, 0
57,27,756565,42648,8100,10576,4729,4386,990,508, 1, 0, 0
60,35,269086,45402,20308,18372,28584,9818,10440,2114, 1, 0, 0
37,38,1602785,656725,10819,66168,24808,42384,19880,10209, 1, 0, 0
29,24,187454,91204,103413,53401,61028,16089,5696,4516, 1, 0, 0
26,43,519459,77893,24656,81976,20788,8980,4113,2045, 1, 0, 0
38,48,44197,31857,30166,31865,31797,16093,10699,3046, 1, 0, 0
47,57,328357,9431,1119,4649,4527,1899,5175,855, 1, 0, 0
56,57,52536,21524,22132,20770,13414,12145,7556,4752, 1, 0, 0
60,47,183387,74446,7229,14483,6866,7002,5137,1690, 1, 0, 0
60,47,12031,35929,15778,37835,9047,14281,14967,1941, 1, 0, 0
66,50,143272,34138,6972,30533,26473,16596,12141,9113, 1, 0, 0
64,41,755591,68127,11618,25580,25361,16081,8448,2461, 1, 0, 0
66,37,1215667,638289,106577,232101,292987,193453,19059,13353, 1, 0, 0
66,37,248209,15395,2989,2227,1827,1245,253,201, 1, 0, 0
74,29,102156,30295,10993,20374,3943,12575,4331,885, 1, 0, 0
63,29,1082685,150447,71701,38025,58010,14641,12565,2614, 1, 0, 0
50,40,239365,51968,28102,798,11456,3755,2080,625, 1, 0, 0
50,47,80217,14177,11503,7300,1782,5978,5452,463, 1, 0, 0
53,44,46400,54362,19034,9955,17891,6889,19349,2243, 1, 0, 0
66,34,657230,73122,25214,23756,12678,19259,10857,8220, 0, 1, 0
60,41,1116847,74318,54406,22432,6480,26659,8762,5324, 0, 1, 0
60,53,51085,51926,120040,28463,17400,12534,5787,2232, 0, 1, 0
54,67,66889,34119,51075,37012,21691,11603,8244,1349, 0, 1, 0
51,66,1355797,97364,31872,32610,36759,16647,8544,4410, 0, 1, 0
34,24,80687,54614,11981,2946,8715,5775,3302,553, 0, 1, 0
48,34,1262308,99690,89521,24949,72196,21238,4544,3718, 0, 1, 0
30,40,24889,125707,86244,60955,18624,8226,14468,1199, 0, 1, 0
35,48,59303,73082,15944,45832,7254,13284,14589,10377, 0, 1, 0
26,56,379061,26051,12877,8774,7425,1718,3127,799, 0, 1, 0
17,48,319727,214422,46894,13955,24532,11657,11731,1823, 0, 1, 0
35,50,90513,37531,13208,59174,7407,17045,32665,8341, 0, 1, 0
44,57,196883,32718,58833,50657,25781,18074,10705,1409, 0, 1, 0
41,51,373395,191853,55821,45247,32277,17236,5946,4151, 0, 1, 0
37,50,79410,64695,10352,31513,11568,7759,8439,2340, 0, 1, 0
47,37,357374,95288,3275,39856,23277,11445,8919,8807, 0, 1, 0
40,37,463166,63330,30228,4000,8936,3258,4617,779, 0, 1, 0
51,34,44031,36189,10463,15836,19152,14099,15851,1762, 0, 1, 0
47,40,25754,25175,9267,23391,16885,6757,13896,3794, 0, 1, 0
77,41,74648,82123,40222,18748,21791,15856,6293,1873, 0, 1, 0
70,43,911776,124050,40355,24084,34635,32121,12943,5289, 0, 1, 0
54,48,149897,10212,11946,7650,1065,1611,1327,900, 0, 1, 0
48,56,155148,148678,54618,106072,23463,24939,16040,2468, 0, 1, 0
48,56,731236,197649,59997,49160,61606,42677,12881,5180, 0, 1, 0
35,41,148353,23720,1602,1060,671,782,733,345, 0, 1, 0
20,41,65243,44745,10247,7023,8302,2574,2901,1369, 0, 1, 0
24,41,80252,31369,63500,27753,14940,9580,18925,2397, 0, 1, 0
70,63,17416,30635,4476,15868,8070,17019,5853,6078, 0, 1, 0
69,63,281680,26109,21342,75158,14739,13449,6341,2684, 0, 1, 0
78,54,105749,23714,24307,9896,29307,31426,10411,2444, 0, 1, 0
90,57,145849,7556,7354,7319,2600,5486,1154,916, 0, 1, 0
70,54,58825,156331,14626,39660,31045,10624,8611,2881, 0, 1, 0
80,53,80716,9136,13324,39162,11980,17398,7637,5728, 0, 1, 0
67,57,29849,35205,31361,17027,4148,13985,8398,3885, 0, 1, 0
84,53,258513,10319,2016,13110,17488,10330,2242,755, 0, 0, 1
69,40,171098,52021,15093,13336,12973,3197,5539,2963, 0, 0, 1
61,41,169208,24672,17082,9037,3525,5025,2389,1271, 0, 0, 1
61,41,673850,46087,9846,20236,5975,14479,2667,1398, 0, 0, 1
34,41,753781,339436,118873,27403,10740,13284,1989,1551, 0, 0, 1
37,51,790865,88655,37409,79845,15515,10312,11331,5019, 0, 0, 1
47,54,509063,24480,44959,14132,13671,23959,9408,6569, 0, 0, 1
40,38,774767,260778,5920,79573,14114,12606,7833,3619, 0, 0, 1
44,41,256978,29873,1270,9136,2926,3966,3363,1042, 0, 0, 1
43,47,249532,29235,15797,95176,16867,14601,17421,1688, 0, 0, 1
51,53,101989,28411,31378,43668,19170,27408,9613,1535, 0, 0, 1
69,61,81815,7867,3661,14150,11773,6117,1542,633, 0, 0, 1
69,61,907352,22132,13413,8582,6571,4699,3242,3104, 0, 0, 1
64,54,134648,39155,3900,2685,5214,3158,3003,741, 0, 0, 1
67,47,30731,40900,30871,24536,21377,13762,8954,3771, 0, 0, 1
66,53,117384,5923,888,581,717,704,198,222, 0, 0, 1
54,53,93606,24011,27221,13950,11066,5180,1504,1434, 0, 0, 1
54,53,1217926,2246757,207441,24081,142372,183436,66180,52543, 0, 0, 1
27,34,110667,54144,3147,7668,3875,736,653,220, 0, 0, 1
34,35,61143,84953,17574,51691,12429,30058,3819,3049, 0, 0, 1
29,41,619579,39762,8020,9722,4087,3748,1619,346, 0, 0, 1
38,41,617925,51246,31813,57619,9012,26460,8972,2711, 0, 0, 1
61,63,58534,29486,34282,68231,7729,15098,15466,3173, 0, 0, 1
43,63,364448,148136,44519,55197,15534,8080,21630,4384, 0, 0, 1
41,80,31984,36684,12669,91229,2796,7001,5082,4129, 0, 0, 1
60,30,19748,78770,23246,29367,20136,13436,10199,5181, 0, 0, 1
57,34,83541,59278,8021,51906,11156,12533,8245,2282, 0, 0, 1
69,43,72492,12452,13621,12609,14227,21535,15470,7497, 0, 0, 1
69,56,39908,46918,40299,41316,8009,13192,10874,2825, 0, 0, 1
74,67,111402,21730,22997,54914,9718,12529,8075,4390, 0, 0, 1
69,74,1268408,45715,20548,68776,15166,11220,12894,3811, 0, 0, 1
48,78,46968,63370,69458,24070,23689,10758,18024,7453, 0, 0, 1
51,77,53057,24776,30958,13457,12645,9342,13333,2394, 0, 0, 1
47,66,585380,102996,47915,37269,26638,14043,11755,5809, 0, 0, 1
